AIR TEMP,RELATIVE HUMIDITY,SOIL TEMP,WIND SPEED,WIND MAGNITUDE,WIND DIRECTION,WIND SD,RAD FLUX,PRECIP
9.1,92.8,28.2,2.9,2.8,220,13.8,0,0
12.8,94.7,27.9,3.8,3.8,189,8.7,0,0
13.6,93.7,27.8,3.6,3.5,226,16.2,0,0
15.5,95.2,27.6,3.1,2.9,270,17.6,0,0
17.1,93.8,27.6,4.4,3.7,236,32.4,0,0
15.8,93.3,27.6,4.2,3.8,250,24.1,0,0
13.6,94.5,27.6,3.2,3,260,17.3,27.9,0
19.3,89.8,27.4,5.9,5.3,281,25,197.2,0
24.3,79.9,27.5,10.4,10.1,334,13.5,316,0
29,64.5,28.1,8.1,7.7,349,17.7,480.8,0
32.7,51.6,28.8,6.3,5.8,2,23.9,576.3,0
35.6,40.3,29.4,7,6.4,5,23.9,614.9,0
37,36.3,29.8,7.3,6.5,352,26.9,599.7,0
38.2,34.2,30.1,6.4,5,343,36.9,529.4,0
39.4,31.6,30.3,5.5,4.4,350,35.5,410.7,0
39.5,30.7,30.4,6.8,6.3,327,22.9,252,0
36.4,36.6,30.5,5.9,5.7,337,13,51.1,0
31.8,46.7,30.7,2.2,2.1,328,16.1,0.2,0
29,52.8,30.8,1.6,1.5,329,19.7,0,0
26.4,58.8,30.8,1.1,0.7,266,45.5,0,0
24.3,67.7,30.9,1.7,1.2,322,40.6,0,0
25.1,70.6,30.9,2.9,2.7,354,22.5,0,0
26.9,63.8,31,4,3.9,44,12.6,0,0
26.2,64.1,31,3.2,2.9,82,25.3,0,0
24.5,69.7,31.1,2.1,2,112,15.2,0,0
24.8,70.7,31.1,2.6,2.4,114,22.3,0,0
25.7,69.7,31.1,3.7,3.4,84,22,0,0
26.5,67.6,31.1,5,4.8,95,15.1,0,0
26.8,67.7,31.1,5.2,4.9,120,17.1,0,0
26.3,71.3,31,5,4.8,115,16.2,0,0
26.7,76.7,30.9,6.4,6.1,143,18.2,4.2,0
28.7,85.3,30.8,10.6,10.4,170,11.1,55.4,0
31.5,77,30.8,13.6,13.5,165,9.2,188.3,0
35,59.6,30.9,16.8,16.6,171,10,458.6,0
37.2,49,31,20,19.6,168,10.8,489.3,0
38.5,43.5,31.1,20.9,20.6,171,10.3,472,0
39.3,39.7,31.1,21.4,21,172,10.7,473.7,0
40.2,38.3,31.2,21.8,21.4,166,11.2,499.1,0
39.5,40.5,31.2,22.4,22,169,10,355.1,0
37,44.7,31.2,20.5,20.3,170,8.7,150.7,0
34.5,51.8,31.3,17,16.8,168,8.6,48.9,0
32,53.2,31.3,14.9,14.8,164,7.4,0,0
30.2,57.2,31.3,12.8,12.7,161,6.7,0,0
29.1,62.7,31.3,11.8,11.7,159,7.5,0,0
28.7,68.4,31.4,12.9,12.8,165,6.8,0,0
28.4,72.9,31.4,12.7,12.6,160,7.8,0,0
28.6,76.2,31.4,13.5,13.4,161,8.2,0,0
28.2,80.4,31.4,11.7,11.5,152,9.9,0,0
28.2,84.1,31.4,11.3,11.1,155,9,0,0
29.1,84.8,31.4,11.2,11,170,10.1,0,0
29.1,87.2,31.4,7.9,7.8,162,11.2,0,0
29.4,88.3,31.4,4.6,4.3,175,20.9,0,0
29.3,89.7,31.5,2.2,0.7,199,67.4,0,0
29.4,89.8,31.5,4.6,3.8,299,34.6,0,0
29.2,88.5,31.5,8.9,8.8,315,8.2,19.3,0
31,80,31.5,15.4,15.2,322,8.9,118.7,0
32.8,73.2,31.5,19.1,18.9,327,8.5,126.1,0
32.6,70.2,31.5,25.1,24.7,337,10.1,165.3,0
28.7,63.8,31.5,23.6,23.3,345,9.1,214,0
31,54.6,31.5,22.4,22.2,346,9.3,462.9,0
31.4,49.3,31.5,20.8,20.5,352,10,373.8,0
32.1,47.7,31.5,20,19.7,348,10.6,406.5,0
32.3,44.6,31.5,19.3,18.9,351,11.4,295.6,0
30.9,41.3,31.5,14.4,13.9,357,14.8,153.8,0
28.4,32.6,31.5,11,10.4,2,19.3,64.4,0
26.2,37.2,31.6,8.4,8,1,18.3,3.6,0
23.1,50,31.6,6.3,5.9,5,20,0,0
20.8,52.8,31.6,10.8,10.5,356,14.1,0,0
19.9,52,31.6,12.2,11.9,356,12.4,0,0
19.5,53.2,31.6,12.8,12.6,355,12,0,0
18.3,65.7,31.6,15.9,15.7,350,8.1,0,0
16.3,91.7,31.6,11.2,11.2,351,7.4,0,0
16,93.5,31.6,9.6,9.6,350,7.1,0,0
16.1,94,31.6,6.9,6.8,349,7.3,0,0
14.2,93,31.6,4.1,3.9,322,19.5,0,0
13.6,94,31.6,5.7,5.7,297,5.3,0,0
12.8,92.2,31.6,5.9,5.9,299,5.5,0,0
10.8,91.3,31.6,5.9,5.9,308,6.1,0,0
10.7,90.1,31.6,7.1,7,309,6.4,27.6,0
13.7,86.8,31.5,7.3,7.3,300,7.2,203.5,0
18.5,74,31.5,10,9.8,317,11.5,385,0
21.2,58,31.5,12.5,12.3,326,10.4,469,0
23.1,55.3,31.5,14.2,13.9,327,12.4,608,0
25.1,54.8,31.5,13.6,13.2,326,13.3,621.8,0
27.2,50.2,31.5,14.9,14.4,330,14.7,631.2,0
28.5,45.5,31.5,14.4,13.8,329,16.4,568.7,0
28.5,38.9,31.5,15.4,14.7,327,16.9,415,0
29,32.5,31.5,12.8,12.3,333,15.8,303.8,0
27.8,32.4,31.5,9.5,9.2,349,14.1,105.3,0
22.4,47.5,31.6,3.2,2.9,18,22.1,2.4,0
17,58.3,31.6,4.1,4,30,13,0,0
14.4,64.1,31.6,4.5,4.4,30,12.8,0,0
13.4,62.7,31.6,6.4,6.1,44,15.6,0,0
9.4,70.1,31.6,4.3,4.1,40,15.3,0,0
6.8,75,31.6,2.6,2.4,7,23,0,0
5.5,76,31.5,2.1,2.1,354,13.3,0,0
6.1,72.4,31.2,2.5,2.3,32,21,0,0
5.3,72.2,30.7,2,1.9,29,23.9,0,0
3,77.8,29.9,1.5,1.1,313,40.3,0,0
3.1,79.5,29.1,1.1,0.4,67,62.1,0,0
3.9,76.4,28.2,1.6,1.3,116,34.1,0,0
1.9,79.9,27.4,2.8,2.7,167,17.2,0,0
3.7,79.5,26.7,5.1,5,175,9.5,56.9,0
11.1,69.6,26.1,9.6,9.5,165,9.8,204.8,0
16.4,60.7,26.2,11.1,10.9,165,11.4,354,0
20.6,50.7,27.3,11.7,11.4,165,12.6,476.5,0
24.9,42,28.5,12,11.7,179,14.2,564.3,0
28.7,36.9,29.2,12.9,12.5,180,13,648.4,0
32.3,31.9,29.7,13.3,12.9,187,13.1,629.5,0
36.1,28.2,30.1,11.9,11.4,193,15.8,556.1,0
38.2,25.7,30.3,11.7,11.4,204,14.5,391.8,0
39,24.2,30.5,12.9,12.6,207,11.6,229.1,0
37.8,25.4,30.7,10.4,10.3,199,10.2,71.1,0
31.4,34.9,30.8,7.8,7.8,174,7.4,4.2,0
25,48.3,30.9,7.6,7.6,165,5.3,0,0
23.4,54.6,31,8.3,8.3,169,6.5,0,0
23.6,54.2,31,9.1,9.1,173,6.6,0,0
23.1,55.7,31.1,8.4,8.4,180,7.7,0,0
23.8,54.3,31.1,7.9,7.8,188,9.4,0,0
25.3,51.7,31.1,7.6,7.4,215,11.1,0,0
25,52.5,30.9,8,7.8,237,9.4,0,0
22.6,59.5,30.5,7.5,7.4,247,11.4,0,0
20.9,66.8,30.1,7.4,7.3,246,9.4,0,0
22.7,66.5,29.6,7.2,7,252,14.5,0,0
21.7,69.8,29.2,8,8,244,7.5,0,0
20.3,74,28.8,7.5,7.3,248,11.5,0,0
21.4,75.1,28.4,5.3,5.1,255,16.8,51.7,0
32.1,57.5,28.2,6.9,6.7,276,16.1,216.2,0
42,39.9,28.7,8.1,7.7,274,18.5,383.5,0
47.9,32,29.4,8.4,7.9,258,18.6,516.9,0
54.3,23.7,29.9,9.5,8.9,261,20.4,609.7,0
57.7,17.9,30.2,9,8.4,273,21.2,645.9,0
59.8,15.7,30.5,9.7,9,267,21.8,627.8,0
61.4,14.9,30.7,11.3,10.6,269,20.8,554.3,0
61.7,18,30.9,11.4,10.8,269,19.1,429.1,0
62,17.9,31.1,10.3,9.9,282,17.5,272.5,0
59.8,19.9,31.2,8,7.8,285,12.5,104.3,0
51.1,27,31.3,4.5,4.4,240,10.4,2.3,0
43.6,34.2,31.4,5.9,5.8,239,4.2,0,0
38.6,41.9,31.4,5.9,5.8,245,7.1,0,0
35.7,47,31.5,6.5,6.4,245,9.4,0,0
35.9,48.8,31.5,6.9,6.7,245,10.3,0,0
35.2,52.1,31.5,6.9,6.8,245,10.7,0,0
34.7,51.5,31.6,5.9,5.8,249,11.7,0,0
33.6,52.2,31.6,5.2,4.9,269,19.1,0,0
31.9,56.4,31.6,6,5.7,270,16.9,0,0
33.2,53.2,31.6,6.9,6.6,273,17,0,0
35.4,49.7,31.6,8.7,8.4,283,13.7,0,0
32.4,57.6,31.6,7.4,7.2,279,12.5,0,0
31.2,62.2,31.6,6.9,6.3,290,23.6,0,0
31.9,64.2,31.6,6,5.7,286,19.8,56.2,0
41,49.5,31.6,10.5,10.4,295,7.9,224.4,0
48.5,39.5,31.6,12.9,12.6,314,13.6,386.4,0
54.2,32.8,31.6,12.7,12.3,336,13.3,518,0
58.3,28.7,31.6,9.4,8.9,1,19.3,607.2,0
59.6,27.5,31.7,7.4,6.5,3,27.9,643.3,0
61.3,25.6,31.7,6.4,5.6,4,28.9,622.6,0
62.4,24.3,31.9,4,2.3,13,53.5,551.1,0
62.8,23.9,32.9,3.7,1.9,93,56.4,431.8,0
62.7,23.4,34.5,3.1,2.4,73,39.7,275.3,0
60.3,26.2,35.3,4.6,4.3,90,20.5,108.1,0
50.9,35.8,35,5,4.7,88,18.2,2.5,0
41.4,49.8,34.3,4.9,4.7,96,15.5,0,0
37.5,58.6,33.4,3.5,3.4,112,14.6,0,0
36.7,61.7,32.6,4.4,4.2,121,15.4,0,0
35,68.1,32.2,5.7,5.7,149,8.3,0,0
32.7,73.7,32,7.1,7,165,8.7,0,0
36.7,66.7,31.9,10.6,10.5,165,7.2,0,0
38.3,62.5,31.9,11,10.9,178,6.6,0,0
37.7,63.8,31.8,9.4,9.4,177,6.9,0,0
32.3,74.6,31.8,4.5,4.3,207,14.7,0,0
30.7,78.5,31.8,4.6,4.5,213,10.5,0,0
33.1,75.6,31.8,6.7,4.5,309,45.8,0,0
30.3,80.8,31.8,3.9,3.7,339,21.2,0,0
31.2,83.4,31.8,6.1,6.1,349,7.6,56.2,0
37.9,69.8,31.8,6.5,6,12,21.2,220.4,0
41.6,63.1,31.8,9.3,8.8,25,19.4,380.6,0
44.6,58.1,31.8,10.1,9.5,20,20.1,513.9,0
47.1,53.6,32.7,11.2,10.7,24,18.3,602,0
49.4,48.8,34.9,11.7,11.1,29,19.3,643.3,0
51.7,45.4,36.7,12.5,11.8,37,19.2,626.1,0
53.5,41.2,38.2,12.4,11.9,41,17,556.9,0
54.5,37.5,39.4,12.2,11.7,46,16.1,437.7,0
55.2,35.2,39.9,10,9.6,44,16.7,282.2,0
53.3,37.8,39.6,8.1,7.8,44,15.9,112.5,0
46.9,47.8,38.5,5.1,5,45,10.2,3.2,0
42.3,56,37.1,4.5,4.4,43,10.2,0,0
40.9,59.4,35.8,3.6,3.4,62,23,0,0
35.4,71.3,34.6,1.6,1.5,115,17.4,0,0
35.8,72.1,33.8,2.1,2.1,119,13.8,0,0
33.2,79.1,33.2,2.1,2,130,12.4,0,0
30.7,82.9,32.8,1.9,1.1,171,52.6,0,0
26.1,92.8,32.6,3.2,3.2,245,10.7,0,0
28,91,32.4,3.3,3.2,244,8.4,0,0
26.8,93.6,32.3,3.9,3.8,241,6.7,0,0
25.8,94.7,32.2,3.7,3.6,247,9.6,0,0
23.1,96.3,32.2,3.1,2.9,257,16.9,0,0
22.9,96.5,32.1,3.3,3.2,261,16.2,0,0
26.3,94.5,32.1,3.5,3.3,254,17.5,71.8,0
36.2,83.6,32.1,5.6,5.4,232,14.5,242.3,0
44.2,65.4,32.1,8.3,8.1,196,13.5,398.4,0
49.9,45.7,32.1,10,9.7,181,13.1,529.8,0
53.3,33.2,32.4,10,9.7,169,14.1,617.5,0
56,27.6,35.1,7.6,6.9,172,23,656.2,0
59.2,20.8,38.6,9.4,9,188,16.9,639.8,0
61,18.7,41.5,8.8,8.3,191,19.2,566.8,0
62.3,19.3,43.5,8.9,8.4,188,18.6,445.1,0
62.5,21,44.7,10.2,9.9,179,12.4,286,0
59.6,24.3,44.7,8.7,8.6,171,8.8,115.5,0
48.2,37.1,43.5,5.6,5.5,151,4.6,3.7,0
38.7,52.1,42,5.7,5.7,160,3.5,0,0
36,58.8,40.3,6.6,6.6,161,4.5,0,0
35.6,61.1,38.8,6.8,6.8,166,4.4,0,0
33.6,66.5,37.5,6.1,6,171,8.1,0,0
32.2,70.4,36.4,5.8,5.8,183,3.8,0,0
31.6,73.6,35.5,5.5,5.4,192,6.4,0,0
33.7,71.4,34.9,5.7,5.7,198,5.1,0,0
32,75.9,34.5,4.1,4,217,7.9,0,0
31.8,76.5,34.1,4.5,4.5,206,8.1,0,0
29.6,84,33.8,4.2,4,203,15.9,0,0
29.9,85.2,33.6,4.4,4.2,200,17.4,0,0
30.9,86.6,33.4,4.6,4.3,255,20.8,0,0
33.8,82,33.2,6,5.8,250,15.5,62.9,0
41.2,69.3,33.1,6.6,6.1,267,21,236.8,0
49.9,49.2,33,7.2,7,304,14.4,405.3,0
57.5,35.5,34,7.2,6.9,336,17.2,539.6,0
63.8,27.4,37.1,7.7,7.4,341,16.3,628.7,0
68.5,20.3,40.7,7.9,7.4,356,20.6,666.5,0
70.4,16.3,44,8.5,7.6,343,26.3,646.7,0
71.3,15,46.7,7.2,6.2,359,30.9,572.4,0
72,14,48.7,8.1,7.5,329,23.1,451.6,0
71.5,13.8,49.8,8.6,8.2,330,16.9,293.7,0
68.2,18.7,49.7,6.1,5.8,334,15.4,121,0
57.9,27.5,48.5,4.1,4.1,312,7.1,4.1,0
53.6,31,46.9,2.9,2.6,19,28,0,0
53.3,30.5,45.2,3.9,3.8,32,16.6,0,0
52.3,31.4,43.7,3.8,3.7,34,10.9,0,0
48.5,37.1,42.4,3.6,3.5,34,11.9,0,0
42.8,52.6,41.1,3.3,1.4,348,61.8,0,0
35.6,69.4,40,2.3,2.3,280,13.5,0,0
33.8,69.1,38.9,3.9,3.9,331,11.8,0,0
31.4,74.9,37.9,4,4,336,9.2,0,0
30.6,77.2,37,4.3,4.3,344,5.1,0,0
31.8,75.7,36.3,3.4,3.1,6,22.8,0,0
33.1,81.3,35.7,5,4.8,43,14.6,0,0
32.6,83.9,35.3,4.7,4.6,44,13.9,0,0
34.4,82.3,34.9,2.7,2.3,32,33.7,70.6,0
42.3,72.8,34.6,5.1,4.8,111,18.3,243.2,0
49.6,61.3,34.6,7.8,7.6,136,15.3,407,0
55,50.1,36.6,7.8,7.6,143,15.2,538.6,0
60.9,37.5,39.8,7.6,7.2,151,18.4,626.9,0
66.3,28.4,43.3,9.2,8.8,159,15.6,664.8,0
69.5,23.5,46.4,9.2,8.8,163,17.5,645,0
71.5,19.6,49,9.4,8.9,157,18.4,571.8,0
72.2,16.9,50.9,9.6,9,165,20.8,452.2,0
71.6,16.7,52,9.6,9.1,166,18.4,295.4,0
68.3,20.5,51.9,8.7,8.5,151,10.2,125,0
59.9,30.1,50.7,7.8,7.7,136,9.3,4.6,0
54.1,38.2,49,9.3,9.1,135,9.8,0,0
50.7,44.5,47.3,10,9.8,136,9.5,0,0
48.6,48.5,45.8,9.6,9.4,137,10,0,0
46.3,54,44.5,8.4,8.3,141,10,0,0
43,61.5,43.3,6.9,6.8,143,9.6,0,0
39.4,69.3,42.2,6.1,6,146,9.7,0,0
36.3,75.9,41.1,5.6,5.6,156,6.1,0,0
35.4,79.3,40.1,6.3,6.2,171,10,0,0
33.8,83.7,39.2,6.1,6,173,9.4,0,0
31.7,88.8,38.3,4.9,4.7,188,15.1,0,0
31.5,89.6,37.5,4.9,4.9,189,10.4,0,0
32,88.6,36.8,4.6,4.5,194,13,0,0
37.4,81.2,36.3,7.1,7,168,10.3,88.9,0
48.8,60.3,36.2,12.5,12.4,181,7.8,260.9,0
58.3,42.4,37.1,14.7,14.5,188,9,413.9,0
65.6,31,39.6,17.6,17.4,191,9.5,540.9,0
70.6,24.9,42.8,22.3,22,192,9.2,620.9,0
73.2,22.9,46,19.6,19.2,192,11,657,0
74.9,21,49.1,17.9,17.3,191,14.7,629.5,0
75.1,20.9,51.8,17.7,17.3,179,11.5,560.1,0
74.8,19.8,53.7,18,17.7,178,11,448.8,0
73.4,19.7,54.8,15.5,15.3,175,10,271.3,0
70.3,21.9,54.7,12.2,12,170,9.1,114,0
59.6,35.1,53.5,7.5,7.5,159,7.8,2.9,0
51,49.8,51.8,6.4,6.4,152,6.1,0,0
47.4,57.1,49.9,6.7,6.7,163,5.6,0,0
44.3,62.1,48.2,6.2,6.2,163,5.2,0,0
42.5,64.7,46.6,5.7,5.7,163,6.6,0,0
40.5,67.7,45.3,6.1,6,175,12.6,0,0
39.5,69.3,44.1,5.9,5.8,191,7.2,0,0
37.6,72.5,42.9,5.3,5.2,199,9.7,0,0
37.3,73,41.9,3.8,3.6,244,15.4,0,0
37.4,74.2,41,4.7,4.6,276,9.7,0,0
38.3,73,40.2,4.4,4.2,270,16,0,0
34.8,79.9,39.5,5.2,4.8,230,22.5,0,0
34.8,81.1,38.8,5.1,4.8,262,21.5,0,0
42.1,67.7,38.3,10,9.7,308,13.9,77.1,0
50,53.5,38.1,11.5,11.3,340,10.9,242,0
59.4,40.8,38.9,10.6,10,360,19.9,412,0
65.8,30.9,41.4,11.7,10.8,5,23,555,0
69.2,25.6,44.7,13.7,12.6,15,22.9,628.7,0
71,23.1,48.1,14.3,13.1,8,23.3,674.2,0
72.1,20.7,51.2,14.4,13.3,16,22,656.2,0
71.5,21.5,53.8,14.1,12.9,11,22.9,524.1,0
71.4,21.6,55.3,13.6,12.5,4,22.9,453.2,0
70.3,21.9,56.1,11.9,11,4,22.4,276.7,0
67.7,22.1,55.9,8.5,7.7,15,23.8,113.6,0
59.3,29.8,54.6,5.4,5,5,22.6,2.1,0
53.9,36.1,52.7,8.7,8.6,352,10,0,0
50.1,40.6,50.8,5.9,5.8,352,14.2,0,0
44.2,52.3,49.1,7.2,7.1,346,7.7,0,0
44.8,56.3,47.4,8.9,8.8,352,9.3,0,0
41.3,66.8,46,8,7.9,349,7.8,0,0
39.6,71.7,44.7,8.1,8,346,6.3,0,0
39,74.4,43.5,9.3,9.2,350,8.5,0,0
37.2,78.3,42.5,8.8,8.7,345,6.6,0,0
35.1,82.6,41.5,7.8,7.7,342,5.8,0,0
31.9,87.9,40.5,5.1,5.1,331,8.4,0,0
29.8,91.7,39.5,6.1,6.1,328,4.7,0,0
29.9,92.5,38.6,6.7,6.6,329,5,0,0
32.4,90.8,37.8,6.7,6.6,324,5.7,48,0
39.1,80.3,37.4,8.2,8.1,327,6.7,188.2,0
49.3,54.6,38,8.6,8.5,344,9.8,399,0
55.3,39.5,40.2,6,5.6,349,20.6,482.9,0
60.3,28,43.3,5.2,3.9,8,41,659.6,0
62.8,22.1,47,5.3,3.3,50,49.7,694,0
64,19.4,50.8,4.8,1.9,142,63.5,673.4,0
66.1,17.8,54.1,3.6,1.6,185,60.5,600.2,0
66,16.8,56.4,4.5,2.9,183,48.3,478.7,0
66,16.7,57.6,4.9,3.9,184,36.6,317.9,0
64.1,18.5,57.5,4.7,4.5,161,15.2,142.1,0
53,31.2,55.8,5,4.9,153,7.8,7.4,0
41.5,47.5,53.5,5.9,5.9,165,6.8,0,0
38.6,53.5,51.1,6.5,6.5,175,5,0,0
36,58.7,48.9,6.2,6.2,187,4.8,0,0
32.9,64.5,46.9,6,6,190,5.9,0,0
33,66.1,45.2,6.6,6.5,190,4.6,0,0
32.3,68.7,43.6,6.8,6.8,194,6.2,0,0
30.9,71.6,42.2,6.5,6.4,194,8.6,0,0
30.6,73.6,40.9,6.9,6.8,206,6.7,0,0
36.5,63.2,39.9,7.9,7.8,213,8.5,0,0
37.8,57.3,39.2,10.1,9.9,210,10.5,0,0
37.2,56.9,38.6,10.3,10.1,210,10.4,0,0
37.6,54.2,38.1,10.5,10.3,213,9.6,0,0
38.3,52.8,37.7,10.1,10,208,8.3,47.6,0
46.8,37.2,37.7,13.8,13.7,221,8.3,178.7,0
56,25.7,38.7,18.9,18.6,216,9.1,410.2,0
63.1,20,41,20.3,20,226,9.4,516.8,0
67.4,15.6,44.2,19.4,19.1,224,10.4,565.6,0
70.9,13.3,47.4,22,21.5,212,12,649.3,0
74.5,12.1,50.4,22,21.6,213,10.5,608,0
79.5,9.5,53.1,21.3,20.9,219,10.5,585.2,0
81.8,8.4,55.3,21.4,21.1,212,10.2,467.5,0
82,7.8,56.8,19.8,19.6,209,9.4,272.5,0
79.1,9.5,57.1,16,15.9,194,8.2,132,0
71.8,13.6,56.4,13,12.9,193,7.7,10.2,0
61.8,22.6,55.1,9.1,9.1,188,6.6,0,0
59.6,26.2,53.4,10.5,10.4,192,7.5,0,0
59.8,26.3,51.8,12,11.9,198,6.5,0,0
57.7,28.5,50.5,11.5,11.5,201,6.8,0,0
56.7,30.1,49.4,11.9,11.8,206,6.9,0,0
54.7,33.3,48.4,11.5,11.5,205,6.8,0,0
50.4,41.2,47.5,8.2,8.1,205,6.7,0,0
47,47.7,46.6,7.9,7.8,199,7.9,0,0
43.7,53.7,45.6,6.4,6.3,190,9.1,0,0
39.2,62.3,44.6,5.5,5.4,197,12.8,0,0
40.6,61.8,43.6,6.8,6.8,194,7.3,0,0
38.9,65.7,42.7,7.5,7.4,189,7.8,0,0
43.6,58.3,41.9,10.3,10.2,194,8.3,92.8,0
53.7,37.9,41.6,13.1,13,208,8.1,275.8,0
63.2,25.7,42.6,14.3,14.2,200,9.3,446.3,0
72.3,17.7,45.3,15.9,15.7,197,9.5,583,0
78.7,12.8,49,17.9,17.6,205,10.9,668.2,0
82.3,11.1,52.8,17.3,16.9,208,12.3,701.8,0
84.5,10.3,56.4,14.8,14.3,219,14.6,668.2,0
85.9,10,59.4,14.1,13.6,216,14.9,597.8,0
87.2,8.7,61.6,10.5,9.7,235,22.8,478.8,0
87.7,7.9,62.9,7.8,7.4,246,19.7,317.9,0
80.8,17.2,63,11.4,7.6,342,46.8,123.8,0
69.1,32.3,61.6,14.2,13.3,22,20.4,6.3,0
64,41.3,59.8,16.7,16.1,27,15.2,0,0
58.7,46.5,57.9,17.1,16.1,21,19.7,0,0
51.1,59.5,56,14,12.9,18,22.6,0,0
46.2,68.3,54.1,13.2,12.2,16,22.2,0,0
42.5,72.1,52.3,14.5,13.3,17,23.7,0,0
38.5,72.4,50.5,12.9,11.8,13,23.9,0,0
35.8,65.9,48.8,11.8,10.8,12,23.4,0,0
33.9,60.2,47.1,11,10,13,23.9,0,0
32.5,61,45.6,11.3,10.5,2,21.2,0,0
31.5,59.2,44.2,10.7,10,0,21.1,0,0
30.5,55.9,43,10.2,9.4,3,21.9,0,0
29.7,57.3,41.8,8.9,8.1,12,24.1,0.1,0
30.9,54.1,40.8,10.1,9.3,17,22.8,101.2,0
34,41.9,40.1,13.5,13,29,15.6,260.8,0
36.7,32.4,40.4,13.9,13.3,35,16.3,403.1,0
39.8,25.5,41.9,13.5,12.8,40,17.4,552.5,0
42.2,21.6,44.3,13.5,12.9,46,16.9,647.6,0
44.8,18.5,47,12.6,12,45,17.7,648.4,0
46.5,16.7,49.6,11.6,10.9,46,19.4,651,0
47.7,16.3,51.8,11.6,11.1,48,17.2,587.3,0
48.4,14.1,53.4,10.9,10.5,54,16,447.3,0
48.3,14.2,54.1,11.5,11.2,53,12.6,303.9,0
47.5,15.7,53.5,10.6,10.3,56,14.1,142.3,0
43.2,22,51.8,9.4,9.2,54,11.3,10.2,0
37.2,30.6,49.9,4.8,4.5,56,20,0,0
34.8,35.4,48,6.8,6.6,52,11.5,0,0
33.5,38.5,46.3,4.2,3.9,54,18.6,0,0
32.3,42.9,44.9,4.1,3.8,57,21.5,0,0
30.9,46.7,43.7,4.4,4.3,53,16.5,0,0
29.8,48.4,42.4,4.1,3.9,52,15.8,0,0
29,50.3,41.3,3.8,3.5,57,21.5,0,0
28.6,51.3,40.3,3.4,3.2,69,21.2,0,0
28,55.8,39.5,3.8,3.4,67,23.9,0,0
26.7,64.7,38.8,4.9,4.7,85,17.8,0,0
26.7,67.6,38.2,4.4,4,75,24,0,0
26.8,69.7,37.7,4.8,4.4,79,23.1,0.3,0
29.5,64.6,37.2,6,5.7,89,15.8,29.6,0
34.7,52.3,37.1,7.7,7.3,117,18.6,119.1,0
40.2,38.6,37.8,9.8,9.3,124,18,298.9,0
43.9,34,39.5,10.8,10.4,132,16.6,444.6,0
47.9,32.1,42,11.7,11.2,137,16.6,602.9,0
50.2,32.1,45.2,11.7,11.2,144,15.8,558.8,0
50.7,34.6,48.1,10.7,10.2,142,17.6,506,0
50.6,36.6,50.3,10,9.6,137,17.5,367.5,0
50.4,37.6,51.4,9,8.4,131,20.1,235.9,0
49.4,38.6,51.8,10,9.7,139,13.3,121.2,0
46.5,41.5,51.3,11.3,11,138,11.1,28.7,0
44,46.5,50.2,9.4,9.1,132,13.4,1.6,0
42.6,51,48.9,7.3,7.1,131,12.6,0,0
41.6,57.2,47.7,5.4,5.2,119,17.9,0,0
40.4,62.5,46.7,5.6,5.3,121,18.4,0,0
39.3,68.5,45.9,6.9,6.7,132,14.3,0,0
38.3,74.7,45.1,5.6,5.4,127,17,0,0
37.3,80.4,44.4,5.3,5.2,112,14.4,0,0
36.4,85.2,43.8,4.6,4.4,111,14.3,0,0
34.8,89.4,43.2,3.1,2.9,97,15.5,0,0
33.5,92.6,42.5,1.5,1.4,106,21.9,0,0
33.7,94.9,41.9,2.2,2,73,24.3,0,0
34.4,97.2,41.4,2.1,2,88,18.3,0,0
34.8,98,41,2.5,2.1,86,31.1,0,0
35.3,96.6,40.8,3.1,3,101,16.3,33.1,0
36.9,90.5,40.9,3.2,2.9,129,25,97.6,0
38.7,84.3,41.4,2.6,1.6,187,50.2,122.9,0
41,77.8,42.3,4.3,3.7,248,29.9,210.5,0
44.3,68.6,43.5,4.7,4,269,31.4,346.1,0
48.4,57.2,45.3,5.9,5.1,268,29.4,508.5,0
52,48.3,47.7,7.6,6.6,293,29.7,417.8,0
54.8,41.4,49.9,7.4,6.7,294,24.2,350.5,0
55.9,38.9,51.4,6.9,6.6,313,17.2,287.3,0
57.7,36.8,52.3,4.5,3.5,282,38.4,234.4,0
57.3,38,52.5,5.6,5.3,192,18.8,108.5,0
50.8,48.6,52,5.4,5.2,167,17.5,5.6,0
44.6,57.8,50.7,5.2,5.1,166,11.1,0,0
41.7,62.9,49.1,3.5,3.1,213,28.1,0,0
40.8,65.4,47.5,5.3,5.1,240,14.9,0,0
37.4,71.7,46,5.2,4.5,312,29.6,0,0
33.5,75.2,44.7,2.6,2.6,332,7.6,0,0
32.1,77.8,43.4,2.1,2,280,19.5,0,0
28.4,87,42.2,2.9,2.8,286,11.1,0,0
29.4,83.7,41.1,3.9,3.9,316,8.7,0,0
27.8,84.9,40.1,4.4,4.4,314,6,0,0
27.1,85.2,39.2,3.2,3.2,316,8.7,0,0
26,87.2,38.3,3,2.9,301,9.7,0,0
24.9,91.9,37.5,3,3,286,13.9,0.4,0
31.8,84.6,36.9,3.7,3.4,288,22,118.7,0
44,65.5,36.6,4.8,4.5,261,20.7,293.9,0
52.1,47.4,38,7.6,7.3,226,14,456.1,0
57.9,35.4,41.2,11.4,11.1,227,12.8,584.3,0
63.5,27.4,45.1,13.1,12.7,233,14.2,668.2,0
